event,key,backend,optimization_mode,name,payload,repository,modelPath,status,response,url,llamacppModelPath,args,path,run_id
endpoint_create_start,llama_cpp:baseline,llama_cpp,baseline,llama-cpp-base-20260429t230230z-black-box-vllm-sgl,,,,,,,,,,20260429T230230Z_black_box_vllm_sglang
endpoint_create_start,vllm:kv_cache_quant,vllm,kv_cache_quant,vllm-kvq-20260429t230230z-black-box-vllm-sglang,,,,,,,,,,20260429T230230Z_black_box_vllm_sglang
endpoint_create_start,vllm:baseline,vllm,baseline,vllm-base-20260429t230230z-black-box-vllm-sglang,,,,,,,,,,20260429T230230Z_black_box_vllm_sglang
endpoint_create_start,vllm:spec_decode,vllm,spec_decode,vllm-spec-20260429t230230z-black-box-vllm-sglang,,,,,,,,,,20260429T230230Z_black_box_vllm_sglang
endpoint_create_start,sglang:baseline,sglang,baseline,sglang-base-20260429t230230z-black-box-vllm-sglang,,,,,,,,,,20260429T230230Z_black_box_vllm_sglang
endpoint_create_start,sglang:kv_cache_quant,sglang,kv_cache_quant,sglang-kvq-20260429t230230z-black-box-vllm-sglang,,,,,,,,,,20260429T230230Z_black_box_vllm_sglang
endpoint_payload,vllm:kv_cache_quant,,,,"{'cacheHttpResponses': False, 'compute': {'accelerator': 'gpu', 'instanceSize': 'x1', 'instanceType': 'nvidia-l4', 'scaling': {'maxReplica': 1, 'measure': {'hardwareUsage': 80}, 'metric': 'hardwareUsage', 'minReplica': 0, 'scaleToZeroTimeout': 60}}, 'model': {'env': {}, 'framework': 'pytorch', 'image': {'vLLM': {'tensorParallelSize': 1, 'healthRoute': '/health', 'port': 8000, 'url': 'vllm/vllm-openai:v0.16.0'}}, 'repository': 'meta-llama/Llama-3.2-3B-Instruct', 'secrets': {'HF_TOKEN': '[REDACTED]'}, 'task': 'text-generation', 'args': ['--gpu-memory-utilization', '0.90', '--max-model-len', '8096', '--kv-cache-dtype', 'fp8']}, 'name': 'vllm-kvq-20260429t230230z-black-box-vllm-sglang', 'notifications': {'email': True, 'push': True}, 'provider': {'region': 'us-east-1', 'vendor': 'aws'}, 'tags': [], 'type': 'protected'}",,,,,,,,,20260429T230230Z_black_box_vllm_sglang
endpoint_create_start,sglang:spec_decode,sglang,spec_decode,sglang-spec-20260429t230230z-black-box-vllm-sglang,,,,,,,,,,20260429T230230Z_black_box_vllm_sglang
endpoint_payload,vllm:baseline,,,,"{'cacheHttpResponses': False, 'compute': {'accelerator': 'gpu', 'instanceSize': 'x1', 'instanceType': 'nvidia-l4', 'scaling': {'maxReplica': 1, 'measure': {'hardwareUsage': 80}, 'metric': 'hardwareUsage', 'minReplica': 0, 'scaleToZeroTimeout': 60}}, 'model': {'env': {}, 'framework': 'pytorch', 'image': {'vLLM': {'tensorParallelSize': 1, 'healthRoute': '/health', 'port': 8000, 'url': 'vllm/vllm-openai:v0.16.0'}}, 'repository': 'meta-llama/Llama-3.2-3B-Instruct', 'secrets': {'HF_TOKEN': '[REDACTED]'}, 'task': 'text-generation', 'args': ['--gpu-memory-utilization', '0.90', '--max-model-len', '8096']}, 'name': 'vllm-base-20260429t230230z-black-box-vllm-sglang', 'notifications': {'email': True, 'push': True}, 'provider': {'region': 'us-east-1', 'vendor': 'aws'}, 'tags': [], 'type': 'protected'}",,,,,,,,,20260429T230230Z_black_box_vllm_sglang
endpoint_payload,vllm:spec_decode,,,,"{'cacheHttpResponses': False, 'compute': {'accelerator': 'gpu', 'instanceSize': 'x1', 'instanceType': 'nvidia-l4', 'scaling': {'maxReplica': 1, 'measure': {'hardwareUsage': 80}, 'metric': 'hardwareUsage', 'minReplica': 0, 'scaleToZeroTimeout': 60}}, 'model': {'env': {}, 'framework': 'pytorch', 'image': {'vLLM': {'tensorParallelSize': 1, 'healthRoute': '/health', 'port': 8000, 'url': 'vllm/vllm-openai:v0.16.0'}}, 'repository': 'meta-llama/Llama-3.2-3B-Instruct', 'secrets': {'HF_TOKEN': '[REDACTED]'}, 'task': 'text-generation', 'args': ['--gpu-memory-utilization', '0.90', '--max-model-len', '8096', '--speculative_config', '{""method"":""draft_model"",""num_speculative_tokens"":5,""model"":""meta-llama/Llama-3.2-1B-Instruct""}']}, 'name': 'vllm-spec-20260429t230230z-black-box-vllm-sglang', 'notifications': {'email': True, 'push': True}, 'provider': {'region': 'us-east-1', 'vendor': 'aws'}, 'tags': [], 'type': 'protected'}",,,,,,,,,20260429T230230Z_black_box_vllm_sglang
endpoint_payload,sglang:baseline,,,,"{'cacheHttpResponses': False, 'compute': {'accelerator': 'gpu', 'instanceSize': 'x1', 'instanceType': 'nvidia-l4', 'scaling': {'maxReplica': 1, 'measure': {'hardwareUsage': 80}, 'metric': 'hardwareUsage', 'minReplica': 0, 'scaleToZeroTimeout': 60}}, 'model': {'env': {}, 'framework': 'pytorch', 'image': {'sGLang': {'tensorParallelSize': 1, 'healthRoute': '/health', 'port': 30000, 'url': 'lmsysorg/sglang:v0.5.8'}}, 'repository': 'meta-llama/Llama-3.2-3B-Instruct', 'secrets': {'HF_TOKEN': '[REDACTED]'}, 'task': 'text-generation', 'args': ['--trust-remote-code', '--mem-fraction-static', '0.90', '--max-total-tokens', '8096']}, 'name': 'sglang-base-20260429t230230z-black-box-vllm-sglang', 'notifications': {'email': True, 'push': True}, 'provider': {'region': 'us-east-1', 'vendor': 'aws'}, 'tags': [], 'type': 'protected'}",,,,,,,,,20260429T230230Z_black_box_vllm_sglang
endpoint_payload,sglang:kv_cache_quant,,,,"{'cacheHttpResponses': False, 'compute': {'accelerator': 'gpu', 'instanceSize': 'x1', 'instanceType': 'nvidia-l4', 'scaling': {'maxReplica': 1, 'measure': {'hardwareUsage': 80}, 'metric': 'hardwareUsage', 'minReplica': 0, 'scaleToZeroTimeout': 60}}, 'model': {'env': {}, 'framework': 'pytorch', 'image': {'sGLang': {'tensorParallelSize': 1, 'healthRoute': '/health', 'port': 30000, 'url': 'lmsysorg/sglang:v0.5.8'}}, 'repository': 'meta-llama/Llama-3.2-3B-Instruct', 'secrets': {'HF_TOKEN': '[REDACTED]'}, 'task': 'text-generation', 'args': ['--trust-remote-code', '--mem-fraction-static', '0.90', '--max-total-tokens', '8096', '--kv-cache-dtype', 'fp8_e4m3']}, 'name': 'sglang-kvq-20260429t230230z-black-box-vllm-sglang', 'notifications': {'email': True, 'push': True}, 'provider': {'region': 'us-east-1', 'vendor': 'aws'}, 'tags': [], 'type': 'protected'}",,,,,,,,,20260429T230230Z_black_box_vllm_sglang
endpoint_payload,sglang:spec_decode,,,,"{'cacheHttpResponses': False, 'compute': {'accelerator': 'gpu', 'instanceSize': 'x1', 'instanceType': 'nvidia-l4', 'scaling': {'maxReplica': 1, 'measure': {'hardwareUsage': 80}, 'metric': 'hardwareUsage', 'minReplica': 0, 'scaleToZeroTimeout': 60}}, 'model': {'env': {}, 'framework': 'pytorch', 'image': {'sGLang': {'tensorParallelSize': 1, 'healthRoute': '/health', 'port': 30000, 'url': 'lmsysorg/sglang:v0.5.8'}}, 'repository': 'meta-llama/Llama-3.2-3B-Instruct', 'secrets': {'HF_TOKEN': '[REDACTED]'}, 'task': 'text-generation', 'args': ['--trust-remote-code', '--mem-fraction-static', '0.90', '--max-total-tokens', '8096', '--speculative-algorithm', 'STANDALONE', '--speculative-draft-model-path', 'meta-llama/Llama-3.2-1B-Instruct', '--speculative-eagle-topk', '1', '--speculative-num-steps', '5']}, 'name': 'sglang-spec-20260429t230230z-black-box-vllm-sglang', 'notifications': {'email': True, 'push': True}, 'provider': {'region': 'us-east-1', 'vendor': 'aws'}, 'tags': [], 'type': 'protected'}",,,,,,,,,20260429T230230Z_black_box_vllm_sglang
llamacpp_gguf_auto,,,,,,unsloth/Llama-3.2-3B-Instruct-GGUF,Llama-3.2-3B-Instruct-Q4_K_M.gguf,,,,,,,20260429T230230Z_black_box_vllm_sglang
endpoint_payload,llama_cpp:baseline,,,,"{'cacheHttpResponses': False, 'compute': {'accelerator': 'gpu', 'instanceSize': 'x1', 'instanceType': 'nvidia-l4', 'scaling': {'maxReplica': 1, 'measure': {'hardwareUsage': 80}, 'metric': 'hardwareUsage', 'minReplica': 0, 'scaleToZeroTimeout': 60}}, 'model': {'env': {}, 'framework': 'llamacpp', 'image': {'llamacpp': {'url': 'ghcr.io/ggml-org/llama.cpp:server-cuda', 'healthRoute': '/health', 'port': 8080, 'modelPath': 'Llama-3.2-3B-Instruct-Q4_K_M.gguf', 'ctxSize': 8096, 'nParallel': 1, 'threadsHttp': 64}}, 'repository': 'unsloth/Llama-3.2-3B-Instruct-GGUF', 'secrets': {'HF_TOKEN': '[REDACTED]'}, 'task': 'text-generation'}, 'name': 'llama-cpp-base-20260429t230230z-black-box-vllm-sgl', 'notifications': {'email': True, 'push': True}, 'provider': {'region': 'us-east-1', 'vendor': 'aws'}, 'tags': [], 'type': 'protected'}",,,,,,,,,20260429T230230Z_black_box_vllm_sglang
endpoint_create_response,,,,sglang-kvq-20260429t230230z-black-box-vllm-sglang,,,,200,"{'name': 'sglang-kvq-20260429t230230z-black-box-vllm-sglang', 'type': 'private', 'provider': {'vendor': 'aws', 'region': 'us-east-1'}, 'compute': {'id': 'aws-us-east-1-nvidia-l4-x1', 'accelerator': 'gpu', 'instanceType': 'nvidia-l4', 'instanceSize': 'x1', 'scaling': {'minReplica': 0, 'maxReplica': 1, 'scaleToZeroTimeout': 60, 'metric': 'hardwareUsage', 'measure': {'hardwareUsage': 80.0}, 'threshold': 80.0}}, 'experimentalFeatures': {'cacheHttpResponses': False, 'loadBalancer': None, 'kvRouter': None, 'mcpLb': None, 'privileged': None, 'kgateway': None, 'skipRepoDownload': None, 'priorityClass': None, 'failureStrategy': None}, 'notifications': {'email': True, 'push': True}, 'model': {'repository': 'meta-llama/Llama-3.2-3B-Instruct', 'revision': '0cb88a4f764b7a12671c53f0838cd831a0843b95', 'task': 'text-generation', 'framework': 'pytorch', 'image': {'sGLang': {'healthRoute': '/health', 'port': 30000, 'url': 'lmsysorg/sglang:v0.5.8', 'tensorParallelSize': 1}}, 'secrets': {'HF_TOKEN': None}, 'env': {}, 'args': ['--trust-remote-code', '--mem-fraction-static', '0.90', '--max-total-tokens', '8096', '--kv-cache-dtype', 'fp8_e4m3']}, 'healthRoute': '/health', 'status': {'createdAt': '2026-04-29T23:02:32.660Z', 'createdBy': {'id': '69cd548d53e9b1c57cf47fb2', 'name': 'psaokar'}, 'updatedAt': '2026-04-29T23:02:32.660Z', 'updatedBy': {'id': '69cd548d53e9b1c57cf47fb2', 'name': 'psaokar'}, 'state': 'pending', 'message': 'Endpoint waiting to be scheduled', 'url': 'https://ckna60iqt6tz0omt.us-east-1.aws.endpoints.huggingface.cloud', 'readyReplica': 0, 'targetReplica': 1}, 'tags': []}",,,,,20260429T230230Z_black_box_vllm_sglang
